"id_commune","id_service","competence","id_service_gn"
"57156","3003208","0","3003208"
"57158","3003224","0","3003224"
"57159","3003218","0","3003218"
"57160","3003217","0","3003217"
"57161","3003225","0","3003225"
"57162","3003210","0","3003210"
"57163","3003246","0","3003246"
"57165","3003217","0","3003217"
"57166","3003222","0","3003222"
"57167","3003216","0","3003216"
"57168","3003250","0","3003250"
"57169","3003250","0","3003250"
"57171","3003224","0","3003224"
"57172","3003215","0","3003215"
"57173","3003247","0","3003247"
"57174","3003237","0","3003237"
"57175","3003245","0","3003245"
"57176","3003232","0","3003232"
"57177","3003225","0","3003225"
"57178","3003234","0","3003234"
"57179","3003272","0","3003272"
"57180","3003247","0","3003247"
"57181","3003225","0","3003225"
"57182","3003224","0","3003224"
"57183","3003226","0","3003226"
"57186","3003216","0","3003216"
"57187","3003215","0","3003215"
"57188","3003255","0","3003255"
"57189","3003237","0","3003237"
"57190","3003218","0","3003218"
"57191","3003272","0","3003272"
"57192","3003257","0","3003257"
"57193","3080252","0","3080252"
"57194","3000501","0","3000501"
"57195","3003259","0","3003259"
"57196","3003258","0","3003258"
"57197","3003239","0","3003239"
"57198","3003234","0","3003234"
"57199","3003274","0","3003274"
"57200","3003204","0","3003204"
"57201","3003258","0","3003258"
"57202","3003231","0","3003231"
"57203","3000501","0","3000501"
"57204","3080252","0","3080252"
"57205","3003217","0","3003217"
"57206","3003267","0","3003267"
"57207","3003232","0","3003232"
"57208","3003232","0","3003232"
"57209","3003218","0","3003218"
"57210","3003247","0","3003247"
"57211","3003206","0","3003206"
"57212","3003203","0","3003203"
