"commune_code_insee","unite_cu"
"02447","442"
"02448","415"
"02449","423"
"02450","451"
"02451","431"
"02452","436"
"02453","407"
"02454","415"
"02455","451"
"02456","406"
"02457","415"
"02458","421"
"02459","429"
"02460","412"
"02461","406"
"02462","422"
"02463","454"
"02464","440"
"02465","419"
"02466","423"
"02467","423"
"02468","412"
"02469","451"
"02470","452"
"02471","404"
"02472","415"
"02473","410"
"02474","410"
"02476","455"
"02477","440"
"02478","405"
"02480","409"
"02481","429"
"02482","27450"
"02483","433"
"02484","421"
"02485","440"
"02486","415"
"02487","443"
"02488","455"
"02489","404"
"02490","405"
"02491","454"
"02492","410"
"02493","412"
"02494","451"
"02495","452"
"02496","423"
"02497","405"
"02498","415"
"02499","405"
"02500","430"
"02501","415"
"02502","413"
"02503","434"
"02504","435"
"02505","420"
"02506","445"
"02507","442"
"02508","404"
"02509","423"
"02510","421"
"02511","432"
"02512","423"
"02513","412"
"02514","444"
"02515","421"
"02516","412"
"02517","409"
"02518","421"
"02519","413"
"02520","441"
"02521","420"
"02522","452"
"02523","441"
"02524","419"
"02525","429"
"02526","413"
"02527","444"
"02528","444"
"02529","409"
"02530","407"
"02531","407"
"02532","433"
"02533","442"
"02534","27450"
"02535","448"
"02536","442"
"02537","443"
"02538","422"
"02539","431"
"02540","419"
"02541","27450"
"02542","406"
"02543","423"
"02544","452"
"02545","412"
"02546","406"
"02547","454"
"02548","453"
"02549","10200904"
"02550","407"
"02551","440"
"02552","434"
"02553","415"
"02554","419"
"02555","420"
"02556","413"
"02557","445"
"02558","453"
"02559","409"
"02560","409"
"02561","404"
"02562","444"
"02563","451"
"02564","440"
"02565","407"
"02566","406"
"02567","452"
"02568","445"
"02569","455"
"02570","435"
"02571","429"
"02572","27450"
"02573","404"
"02574","452"
"02575","434"
"02576","444"
"02577","443"
"02578","407"
"02579","442"
"02580","442"
"02581","441"
"02582","407"
"02583","407"
"02584","450"
"02585","442"
"02586","413"
"02587","415"
"02588","407"
"02589","443"
"02590","421"
"02591","409"
"02592","434"
"02593","440"
"02594","423"
"02595","421"
"02596","420"
"02598","444"
"02599","406"
"02600","412"
"02601","27450"
"02602","405"
"02604","435"
"02605","434"
"02606","442"
"02607","440"
"02608","448"
"02609","407"
"02610","440"
"02612","443"
"02613","27450"
"02614","436"
"02615","436"
"02616","408"
"02617","409"
"02618","430"
"02619","405"
"02620","441"
"02621","404"
"02622","423"
"02623","448"
"02624","451"
"02625","451"
"02626","27450"
"02627","27450"
"02628","445"
"02629","454"
"02631","406"
"02632","408"
"02633","441"
"02634","413"
"02635","430"
"02636","434"
"02637","429"
"02638","409"
"02639","433"
"02640","434"
"02641","413"
"02642","413"
"02643","444"
"02644","445"
"02645","421"
"02647","455"
"02648","434"
"02649","442"
"02650","450"
"02651","410"
"02652","448"
"02653","420"
"02654","451"
"02655","422"
"02656","27450"
"02657","454"
"02658","436"
"02659","10200904"
"02660","413"
"02661","405"
"02662","423"
"02663","440"
"02664","421"
"02665","442"
"02666","413"
"02667","444"
"02668","454"
"02670","448"
"02671","408"
"02672","444"
"02673","444"
"02674","452"
"02675","407"
"02676","415"
"02677","421"
"02678","413"
"02679","423"
"02680","410"
"02681","454"
"02682","441"
"02683","455"
"02684","452"
"02685","410"
"02686","408"
"02687","444"
"02688","454"
"02689","412"
"02690","415"
"02691","10200904"
"02693","442"
