id;version;niveau;libelle;validite
00404;20230913;1;hdr;O
00405;20230913;1;hebe hts;O
00406;20230913;1;heik;O
00407;20230913;1;heinemann;O
00408;20230913;1;heinkel;O
00409;20230913;1;heku;O
00410;20230913;1;hell;O
00411;20230913;1;henrimag;O
00412;20230913;1;henschel;O
00413;20230913;1;herchee;O
00414;20230913;1;hercules;O
00415;20230913;1;hermanns;O
00416;20230913;1;hesston;O
00417;20230913;1;heuliez;O
00418;20230913;1;highway trailer;O
00419;20230913;1;hillman;O
00420;20230913;1;hirondelle;O
00421;20230913;1;hispano;O
00422;20230913;1;hister;O
00423;20230913;1;hit;O
00424;20230913;1;hitachi;O
00425;20230913;1;hkm;O
00426;20230913;1;hm;O
00427;20230913;1;hmb;O
00428;20230913;1;hobby;O
00429;20230913;1;hobein;O
00430;20230913;1;holder;O
00431;20230913;1;home car;O
00432;20230913;1;honda;O
00433;20230913;1;horch;O
00434;20230913;1;horex;O
00435;20230913;1;hotchkiss;O
00436;20230913;1;hrd;O
00437;20230913;1;hsm;O
00438;20230913;1;hts;O
00439;20230913;1;huber woessner;O
00440;20230913;1;hubert;O
00441;20230913;1;hubiere;O
00442;20230913;1;huedig;O
00443;20230913;1;huerlimann;O
00444;20230913;1;hulo;O
00445;20230913;1;hummel;O
00446;20230913;1;husaberg;O
00447;20230913;1;husqvarna;O
00448;20230913;1;hymac;O
00449;20230913;1;hymer;O
00450;20230913;1;hyosung;O
00451;20230913;1;hyster;O
00452;20230913;1;hyundai;O
01137;20230913;1;goes;O
01138;20230913;1;gowinn;O
01139;20230913;1;gsmoon;O
01140;20230913;1;hanway;O
01141;20230913;1;hsun;O
01142;20230913;1;huatian;O
01185;20230913;1;gamax;O
01188;20230913;1;hummer;O
01217;20230913;1;great wall;O
01224;20230913;1;humbaur;O
01228;20230913;1;hinowa;O
00453;20230913;1;ibc;O
00454;20230913;1;ibi;O
00455;20230913;1;ichiban;O
00456;20230913;1;ifa autombilwerke;O
00457;20230913;1;ifor;O
00458;20230913;1;ifor william;O
00459;20230913;1;ihi;O
00460;20230913;1;ikarus;O
00461;20230913;1;ilr;O
00462;20230913;1;ima;O
00463;20230913;1;imenasa;O
00464;20230913;1;imer;O
00465;20230913;1;imer elze;O
00466;20230913;1;imperial;O
00467;20230913;1;imv;O
00468;20230913;1;imv adria;O
00470;20230913;1;ingersoll;O
00471;20230913;1;innocenti;O
00472;20230913;1;interconsult;O
00473;20230913;1;intercycle;O
00474;20230913;1;intermeccanica;O
00475;20230913;1;internat trailers;O
00476;20230913;1;international;O
00477;20230913;1;irmer elze;O
00478;20230913;1;iroise;O
00479;20230913;1;iseki;O
00480;20230913;1;isorivolta;O
00481;20230913;1;isuzu;O
00482;20230913;1;italemmezeta;O
00483;20230913;1;italjet;O
00484;20230913;1;italvelo;O
00485;20230913;1;itm;O
00486;20230913;1;itteco;O
00487;20230913;1;iveco;O
00488;20230913;1;iveco fiat;O
00489;20230913;1;iveco magirus;O
00490;20230913;1;jacobsen;O
00491;20230913;1;jaguar;O
00492;20230913;1;jamet;O
00493;20230913;1;jaun s;O
00494;20230913;1;jaunin;O
00495;20230913;1;jauns;O
00496;20230913;1;jawa;O
00497;20230913;1;jcb;O
00498;20230913;1;jcm;O
